List of words in the text with their # of appearances followed by their respective frequency rank if they are top1000:

rubus, 1 appearances, rank: ---
asper, 1 appearances, rank: ---
amomum, 1 appearances, rank: ---
menalcas, 19 appearances, rank: ---
qui, 19 appearances, rank: 3
bauium, 1 appearances, rank: ---
non, 14 appearances, rank: 6
odi, 1 appearances, rank: 790
amo, 6 appearances, rank: 219
tuus, 1 appearances, rank: 44
carmen, 5 appearances, rank: 254
maeui, 1 appearances, rank: ---
atque, 3 appearances, rank: 35
idem, 3 appearances, rank: 59
jungo, 1 appearances, rank: ---
uulpes, 1 appearances, rank: ---
et, 28 appearances, rank: 1
mulgeo, 2 appearances, rank: ---
hircos, 1 appearances, rank: ---
damoetas, 19 appearances, rank: ---
qui, 19 appearances, rank: 3
lego, 2 appearances, rank: 419
floreo, 2 appearances, rank: ---
et, 28 appearances, rank: 1
humus, 1 appearances, rank: 740
nasco, 2 appearances, rank: ---
fraga, 1 appearances, rank: ---
frigidus, 1 appearances, rank: ---
o, 3 appearances, rank: ---
puer, 5 appearances, rank: 191
fugio, 3 appearances, rank: 177
hinc, 1 appearances, rank: ---
lateo, 2 appearances, rank: 695
anguis, 1 appearances, rank: ---
in, 11 appearances, rank: 5
herba, 2 appearances, rank: ---
menalcas, 19 appearances, rank: ---
parco, 1 appearances, rank: 412
ouis, 4 appearances, rank: ---
nimium, 1 appearances, rank: ---
procedo, 1 appearances, rank: 746
non, 14 appearances, rank: 6
bene, 1 appearances, rank: 235
ripa, 1 appearances, rank: 662
credo, 2 appearances, rank: 109
ipse, 9 appearances, rank: 22
aries, 1 appearances, rank: ---
etiam, 1 appearances, rank: 67
nunc, 6 appearances, rank: 50
vellus, 1 appearances, rank: ---
sicco, 1 appearances, rank: ---
damoetas, 19 appearances, rank: ---
tityre, 2 appearances, rank: ---
pasco, 3 appearances, rank: ---
ab, 2 appearances, rank: ---
flumen, 1 appearances, rank: 283
reicio, 1 appearances, rank: ---
capella, 1 appearances, rank: ---
ipse, 9 appearances, rank: 22
ubi, 1 appearances, rank: 92
tempus, 2 appearances, rank: 89
sum, 21 appearances, rank: 2
omnis, 4 appearances, rank: 18
in, 11 appearances, rank: 5
fons, 1 appearances, rank: 706
lauo, 1 appearances, rank: ---
menalcas, 19 appearances, rank: ---
cogo, 2 appearances, rank: 250
ouis, 4 appearances, rank: ---
puer, 5 appearances, rank: 191
si, 6 appearances, rank: 16
lac, 2 appearances, rank: ---
praecipio, 1 appearances, rank: 945
aestus, 1 appearances, rank: ---
ut, 2 appearances, rank: ---
nuper, 2 appearances, rank: ---
frustra, 1 appearances, rank: 694
presso, 1 appearances, rank: ---
uber, 2 appearances, rank: ---
palma, 1 appearances, rank: ---
damoetas, 19 appearances, rank: ---
heu, 2 appearances, rank: ---
heu, 2 appearances, rank: ---
quam, 1 appearances, rank: 29
pinguis, 1 appearances, rank: ---
macer, 1 appearances, rank: ---
sum, 21 appearances, rank: 2
ego, 23 appearances, rank: 11
taurus, 2 appearances, rank: ---
in, 11 appearances, rank: 5
eruo, 1 appearances, rank: ---
idem, 3 appearances, rank: 59
amor, 3 appearances, rank: 116
exitium, 1 appearances, rank: ---
sum, 21 appearances, rank: 2
pecus, 7 appearances, rank: 566
pecus, 7 appearances, rank: 566
magister, 1 appearances, rank: 933
menalcas, 19 appearances, rank: ---
hic, 7 appearances, rank: 7
certus, 1 appearances, rank: 285
neque, 2 appearances, rank: 72
amor, 3 appearances, rank: 116
causa, 1 appearances, rank: 107
sum, 21 appearances, rank: 2
uix, 1 appearances, rank: ---
os, 1 appearances, rank: 147
haereo, 1 appearances, rank: ---
nescio, 2 appearances, rank: 525
quis, 5 appearances, rank: 212
tener, 1 appearances, rank: 490
oculus, 1 appearances, rank: 206
ego, 23 appearances, rank: 11
fascino, 1 appearances, rank: ---
agnus, 2 appearances, rank: ---
damoetas, 19 appearances, rank: ---
dico, 6 appearances, rank: 33
qui, 19 appearances, rank: 3
in, 11 appearances, rank: 5
terris—et, 1 appearances, rank: ---
sum, 21 appearances, rank: 2
ego, 23 appearances, rank: 11
magnus, 2 appearances, rank: 25
apollo—, 1 appearances, rank: ---
tres, 1 appearances, rank: 533
pateo, 1 appearances, rank: 550
caelum, 1 appearances, rank: 117
spatium, 1 appearances, rank: 426
non, 14 appearances, rank: 6
amplus, 1 appearances, rank: 915
ulna, 1 appearances, rank: ---
menalcas, 19 appearances, rank: ---
dico, 6 appearances, rank: 33
qui, 19 appearances, rank: 3
in, 11 appearances, rank: 5
terra, 2 appearances, rank: 70
inscribo, 1 appearances, rank: ---
nomen, 1 appearances, rank: 135
rex, 1 appearances, rank: 60
nasco, 2 appearances, rank: ---
floreo, 2 appearances, rank: ---
et, 28 appearances, rank: 1
phyllida, 3 appearances, rank: ---
